year,emissions_mtco2,active_facilities,retired_facilities
2025,109.30356478293326,40,1
2026,109.30356478293326,40,1
2027,109.30356478293326,40,1
2028,109.30356478293326,40,1
2029,109.30356478293326,40,1
2030,93.60245287778301,37,4
2031,93.60245287778301,37,4
2032,93.60245287778301,37,4
2033,93.60245287778301,37,4
2034,93.60245287778301,37,4
2035,93.60245287778301,37,4
2036,93.60245287778301,37,4
2037,93.60245287778301,37,4
2038,93.60245287778301,37,4
2039,93.60245287778301,37,4
2040,88.58872445828908,34,7
2041,88.58872445828908,34,7
2042,53.085527915120444,23,18
2043,42.81809775007131,19,22
2044,42.81809775007131,19,22
2045,42.81809775007131,19,22
2046,42.81809775007131,19,22
2047,40.161250211536064,18,23
2048,35.704602727541456,15,26
2049,35.704602727541456,15,26
2050,35.704602727541456,15,26
