year,emissions_mtco2,active_facilities,retired_facilities
2025,93.60245287778301,37,4
2026,93.60245287778301,37,4
2027,93.60245287778301,37,4
2028,93.60245287778301,37,4
2029,93.60245287778301,37,4
2030,88.58872445828908,34,7
2031,88.58872445828908,34,7
2032,53.085527915120444,23,18
2033,42.81809775007131,19,22
2034,42.81809775007131,19,22
2035,42.81809775007131,19,22
2036,42.81809775007131,19,22
2037,40.161250211536064,18,23
2038,35.704602727541456,15,26
2039,35.704602727541456,15,26
2040,35.704602727541456,15,26
2041,34.89040751411937,14,27
2042,34.89040751411937,14,27
2043,34.89040751411937,14,27
2044,34.89040751411937,14,27
2045,34.89040751411937,14,27
2046,34.89040751411937,14,27
2047,34.89040751411937,14,27
2048,34.89040751411937,14,27
2049,34.89040751411937,14,27
2050,34.89040751411937,14,27
