year,emissions_mtco2,active_facilities,retired_facilities
2025,42.81809775007131,19,22
2026,42.81809775007131,19,22
2027,40.161250211536064,18,23
2028,35.704602727541456,15,26
2029,35.704602727541456,15,26
2030,35.704602727541456,15,26
2031,34.89040751411937,14,27
2032,34.89040751411937,14,27
2033,34.89040751411937,14,27
2034,34.89040751411937,14,27
2035,34.89040751411937,14,27
2036,34.89040751411937,14,27
2037,34.89040751411937,14,27
2038,34.89040751411937,14,27
2039,34.89040751411937,14,27
2040,34.89040751411937,14,27
2041,34.89040751411937,14,27
2042,32.40496949419929,12,29
2043,32.40496949419929,12,29
2044,32.40496949419929,12,29
2045,32.40496949419929,12,29
2046,32.40496949419929,12,29
2047,29.833826714971632,11,30
2048,29.833826714971632,11,30
2049,25.45431351435385,9,32
2050,25.45431351435385,9,32
