Scenario,Year,Total_CAPEX_MUSD,Annual_Total_Cost_MUSD,Energy_Substituted_TWh
Conservative,2025,2671.232876712329,4.151987184448678,33.75
Conservative,2030,2671.232876712329,3.6648620504882117,33.75
Conservative,2040,2671.232876712329,3.357520570373899,33.75
Conservative,2050,2671.232876712329,3.2616142533936654,33.75
Aggressive,2025,5681.506849315068,8.381594144439152,66.15
Aggressive,2030,5681.506849315068,7.366984936889736,66.15
Aggressive,2040,5681.506849315068,6.686630537032626,66.15
Aggressive,2050,5681.506849315068,6.4254196832579185,66.15
Expert_Recommended,2025,3945.205479452055,5.922143605620386,47.7
Expert_Recommended,2030,3945.205479452055,5.197747023100739,47.7
Expert_Recommended,2040,3945.205479452055,4.730369671350322,47.7
Expert_Recommended,2050,3945.205479452055,4.5650463800904975,47.7
