TechID,Product,Year,DeploymentLevel,AbatementMtCO2,AnnualCostUSD,CostPerTonCO2,StartYear_Commercial,TRL
EE_001,All_Products,2025,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2026,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2027,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2028,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2029,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2030,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2031,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2032,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2033,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2034,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2035,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2036,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2037,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2038,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2039,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2040,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2041,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2042,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2043,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2044,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2045,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2046,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2047,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2048,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2049,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2050,0.95,14.819999999999999,-1022579999.9999999,-69,2025,9
HP_001,All_Products,2026,0.12,0.9378757515030061,9378757.51503006,10,2025,8
HP_001,All_Products,2027,0.24,1.8757515030060121,18757515.03006012,10,2025,8
HP_001,All_Products,2028,0.36,2.813627254509018,28136272.545090184,10,2025,8
HP_001,All_Products,2029,0.48,3.7515030060120242,37515030.06012024,10,2025,8
HP_001,All_Products,2030,0.6,4.68937875751503,46893787.575150296,10,2025,8
TPA_001,TPA,2029,0.12,0.1248,21340799.999999996,171,2027,8
TPA_001,TPA,2030,0.24,0.2496,42681599.99999999,171,2027,8
PE_002,LDPE,2029,0.15,0.39,81510000.0,209,2025,9
PE_002,LDPE,2030,0.3,0.78,163020000.0,209,2025,9
ETH_003,Ethylene,2030,0.02,0.156,39624000.0,254,2025,9
PROP_002,Propylene,2030,0.03,0.18719999999999998,49420799.99999999,264,2029,7
ETH_004,Ethylene,2030,0.08,0.624,224016000.0,359,2025,9
PE_001,HDPE,2030,0.1,0.26,93860000.0,361,2026,8
PROP_001,Propylene,2030,0.05,0.312,121056000.0,388,2028,6
PP_001,PP,2030,0.06,0.1248,50544000.0,405,2029,6
H2_001,All_Products,2030,0.29207856,3.79702128,1909901703.84,503,2030,6
