company,capacity_1000_t,process,Naphtha_Feedstock_emissions_t_CO2,Naphtha_Thermal_emissions_t_CO2,LNG_emissions_t_CO2,LPG_Propane_emissions_t_CO2,LPG_Butane_emissions_t_CO2,Fuel_Gas_Mix_emissions_t_CO2,Electricity_emissions_t_CO2,total_emissions_MtCO2
LG Chem,15462,3,50465042.1,5960211.0,3653257.63492291,0.0,0.0,4974339.5148623325,486566.07708644564,65.53941632687169
Lotte Chemical,11372,3,46734788.4,4855631.1,3061946.1783288764,0.0,0.0,4148705.1880944227,391440.8373594198,59.19251170378272
Yeochon NCC,5246,3,40488618.825,4945384.65,3065981.498995776,0.0,0.0,4158626.280338225,414839.5439510031,53.07345079828501
Hanwha TotalEnergies,9040,3,39557835.525,3399813.15,2303699.856601232,0.0,0.0,3126004.6319622155,244767.07951595582,48.6321202430794
SK Geocentric,6803,3,29440320.6,1599715.5,2328700.7584372065,0.0,0.0,3131197.7307616114,501297.3627173407,37.00123195191616
GS Caltex,6050,3,29121223.5,2281662.0,1878146.9575551408,0.0,0.0,2550382.8358409526,308536.712743923,36.139952006140014
HD Hyundai Chemical,4479,3,21254329.425,1836292.35,1928691.9353804542,0.0,0.0,2599949.410646117,684001.5062203712,28.303264627246946
S-Oil,4894,3,23291402.25,1196737.5,1325321.5241947854,0.0,0.0,1806018.7683144198,297440.33063534857,27.916920373144556
Daehan Oil Chemical,2783,3,16321807.5,2003821.5,1212379.6081727121,0.0,0.0,1646424.5779341897,156580.50968570478,21.341013695792608
HDHyundai Oilbank,2218,2,11326121.1,479682.0,388748.5297281076,0.0,0.0,536816.5601341017,49654.45552200663,12.781022645384216
SK Incheon Petrochemical,2100,1,9016245.0,0.0,235994.17399543023,0.0,0.0,315500.2326142115,11761.848671857802,9.5795012552815
Ulsan Aromatics,1600,1,6869520.0,0.0,235994.17399543023,0.0,0.0,315500.2326142115,11761.848671857802,7.4327762552815
SK Energy,620,1,5323878.0,708102.0,377617.1188744987,0.0,0.0,530077.5064414749,63518.43034330136,7.003193055659275
SK Advanced,600,1,5152140.0,685260.0,365435.9214914504,0.0,0.0,512978.232040137,61469.44871932389,6.777283602250911
Hyosung Chemical,920,2,4358592.0,571050.0,304529.93457620865,0.0,0.0,427481.8600334475,51934.59455292496,5.713588389162582
Taekwang Industrial,1590,2,2776149.0,342630.0,182717.9607457252,0.0,0.0,256489.1160200685,33126.47025288554,3.5911125470186795
Kumho Petrochemical,2728,2,2639495.325,309107.25,152838.2001061301,0.0,0.0,208869.79218306547,56072.65313322539,3.3663832204224207
Lotte GS Chemical,130,1,1235900.25,169552.5,83835.29963627388,0.0,0.0,114569.9282016815,27855.436456687105,1.6317134142946423
Caprolactam,460,2,1381377.0,160740.0,0.0,0.0,0.0,0.0,777.6781395348835,1.5428946781395347
OCI,540,2,1076958.0,0.0,99641.98457584833,0.0,0.0,133211.2093260004,5002.82133214782,1.3148140152339967
Hanwha Solutions,4653,1,721680.3,0.0,0.0,0.0,0.0,0.0,11850.535108402533,0.7335308351084026
Hanwha Impact,2000,1,310200.0,0.0,0.0,0.0,0.0,0.0,3381.20930232558,0.3135812093023256
Kumho P&B Chemical,1888,1,292828.80000000005,0.0,0.0,0.0,0.0,0.0,3191.8615813953484,0.2960206615813954
Samnam Petrochemical,1500,1,232650.00000000003,0.0,0.0,0.0,0.0,0.0,2535.906976744185,0.2351859069767442
Lotte INEOS Chemical,1170,1,181467.00000000003,0.0,0.0,0.0,0.0,0.0,1978.007441860465,0.1834450074418605
DL Chemical,640,1,99264.0,0.0,0.0,0.0,0.0,0.0,2045.592919522097,0.1013095929195221
BASF Korea,614,1,95231.40000000001,0.0,0.0,0.0,0.0,0.0,1097.6014590327345,0.09632900145903275
Kumho Mitsui Chemical,610,1,94611.0,0.0,0.0,0.0,0.0,0.0,1031.2688372093023,0.09564226883720929
Ulsan PP,600,1,93060.0,0.0,0.0,0.0,0.0,0.0,1793.572928537809,0.0948535729285378
Dongseo Petrochemical,602,1,93370.2,0.0,0.0,0.0,0.0,0.0,1455.4725093813931,0.09482567250938138
Korea INEOS Styrolution,542,1,84064.2,0.0,0.0,0.0,0.0,0.0,1932.2759016780665,0.08599647590167805
Kukdo Chemical,530,1,82203.0,0.0,0.0,0.0,0.0,0.0,896.0204651162788,0.08309902046511627
Poly Mirae,405,1,62815.50000000001,0.0,0.0,0.0,0.0,0.0,1210.6617267630215,0.06402616172676302
SKpicglobal,400,1,62040.00000000001,0.0,0.0,0.0,0.0,0.0,967.0913683597299,0.06300709136835973
LXMMA,380,1,58938.0,0.0,0.0,0.0,0.0,0.0,726.5288778683748,0.05966452887786838
Kumho Polychem,310,1,48081.0,0.0,0.0,0.0,0.0,0.0,524.0874418604649,0.04860508744186046
KPX Chemical,298,1,46219.8,0.0,0.0,0.0,0.0,0.0,503.8001860465115,0.04672360018604651
Lotte MCC,297,1,46064.70000000001,0.0,0.0,0.0,0.0,0.0,579.2004326196538,0.046643900432619664
HDC Hyundai EP,228,1,35362.8,0.0,0.0,0.0,0.0,0.0,899.1778948402882,0.036261977894840286
PU Core,220,1,34122.00000000001,0.0,0.0,0.0,0.0,0.0,371.93302325581385,0.03449393302325582
Aekyung Chemical,218,1,33811.8,0.0,0.0,0.0,0.0,0.0,368.55181395348836,0.03418035181395349
Lotte Versalis Elastomers,196,1,30399.600000000006,0.0,0.0,0.0,0.0,0.0,331.35851162790686,0.030730958511627913
Birla Carbon Korea,193,1,29934.300000000003,0.0,0.0,0.0,0.0,0.0,326.28669767441846,0.03026058669767442
Korea Alcohol Industrial,193,1,29934.3,0.0,0.0,0.0,0.0,0.0,326.2866976744185,0.030260586697674417
SSNC,180,1,27918.000000000004,0.0,0.0,0.0,0.0,0.0,662.242312075499,0.0285802423120755
ISU Chemical,180,1,27918.000000000004,0.0,0.0,0.0,0.0,0.0,304.3088372093022,0.028222308837209303
Samyang Innochem,180,1,27918.000000000004,0.0,0.0,0.0,0.0,0.0,304.3088372093022,0.028222308837209303
Orion Engineered Carbons,170,1,26367.000000000004,0.0,0.0,0.0,0.0,0.0,287.40279069767433,0.026654402790697678
SK Chemical,160,1,24816.0,0.0,0.0,0.0,0.0,0.0,270.4967441860465,0.025086496744186046
Kolon Industries,137,1,21248.700000000004,0.0,0.0,0.0,0.0,0.0,231.61283720930226,0.021480312837209307
HD Hyundai OCI,136,1,21093.6,0.0,0.0,0.0,0.0,0.0,229.92223255813948,0.021323522232558137
Samyang Chemical,120,1,18612.0,0.0,0.0,0.0,0.0,0.0,202.87255813953485,0.018814872558139534
SH Energy Chemical,100,1,15510.000000000002,0.0,0.0,0.0,0.0,0.0,239.1430571383745,0.015749143057138378
Arkema,100,1,15510.000000000002,0.0,0.0,0.0,0.0,0.0,239.1430571383745,0.015749143057138378
Hansol Chemical,88,1,13648.800000000001,0.0,0.0,0.0,0.0,0.0,148.77320930232554,0.013797573209302328
Bluecube Chemical,52,1,8065.200000000001,0.0,0.0,0.0,0.0,0.0,87.9114418604651,0.008153111441860466
Korea Trinseo,43,1,6669.300000000001,0.0,0.0,0.0,0.0,0.0,72.69599999999997,0.006741996000000001
Yongsan Chemical,38,1,5893.8,0.0,0.0,0.0,0.0,0.0,64.24297674418604,0.005958042976744187
Korea PTG,30,1,4653.0,0.0,0.0,0.0,0.0,0.0,50.71813953488371,0.004703718139534884
Downing Chemical,30,1,4653.0,0.0,0.0,0.0,0.0,0.0,50.71813953488371,0.004703718139534884
