Technology,Year,Capex_USD_per_tCO2_abated,Opex_Fixed_USD_per_tCO2_per_year,Fuel_Cost_Variable,Emission_Reduction_%,TRL_2025,Commercial_Availability
Heat_Pump,2030,120,15,Grid_Electricity / COP,90,9,2025
NCC-H2,2030,180,25,H2_Price × 1.25,95,7,2028
NCC-Electricity,2030,280,30,Grid_Electricity × 6.5,100,5,2033
Fuel_Switching_Biomass,2030,50,15,Bio_Naphtha_Premium,85,8,2025
Heat_Pump,2040,80,10,Grid_Electricity / COP,95,9,2025
NCC-H2,2040,110,18,H2_Price × 1.25,95,7,2028
NCC-Electricity,2040,175,22,Grid_Electricity × 6.5,100,5,2033
Fuel_Switching_Biomass,2040,45,12,Bio_Naphtha_Premium,85,8,2025
Heat_Pump,2050,60,8,Grid_Electricity / COP,98,9,2025
NCC-H2,2050,80,12,H2_Price × 1.25,95,7,2028
NCC-Electricity,2050,115,15,Grid_Electricity × 6.5,100,5,2033
Fuel_Switching_Biomass,2050,40,10,Bio_Naphtha_Premium,85,8,2025
