parameter,value,unit,description,source
base_year,2025.0,year,Base year for analysis,Project definition
end_year,2050.0,year,End year for analysis,Project definition
ethylene_baseline_naphtha_fuel,29.0,GJ/ton,Naphtha used as FUEL only in baseline NCC (corrected to literature value),Literature - typical steam cracker fuel consumption
ethylene_baseline_lng,4.49,GJ/ton,LNG used in baseline ethylene production,energy_intensities.csv
ethylene_baseline_fuel_gas,5.62,GJ/ton,Fuel Gas used in baseline ethylene production,energy_intensities.csv
ethylene_baseline_byproduct_gas,1.12,GJ/ton,Byproduct Gas used in baseline ethylene production,energy_intensities.csv
naphtha_emission_factor,0.0542,tCO2/GJ,Emission factor for naphtha combustion (back-calculated),Back-calculated to maintain 52 MtCO2 baseline
lng_emission_factor,0.0149,tCO2/GJ,Emission factor for LNG/fuel gas combustion,emission_factors.csv
green_h2_emission_factor,0.0,tCO2/kg,Emission factor for green hydrogen (lifecycle),Green H2 assumption (renewable electricity)
grid_emission_factor_2025,0.45,tCO2/MWh,Grid emission factor in 2025 (Korean power mix),Korean grid mix 2025 (IEA)
re_lifecycle_emission_factor,0.05,tCO2/MWh,Renewable electricity lifecycle emissions,Literature - renewable energy lifecycle
h2_lower_heating_value,120.0,MJ/kg,Lower heating value of hydrogen,Thermodynamic property
ncc_h2_consumption,0.18,ton_H2/ton_ethylene,H2 consumption for NCC-H2 technology (literature),Literature - H2 steam cracker studies
ncc_electricity_consumption,3.0,MWh/ton_ethylene,Electricity consumption for NCC-E (RSC 2025),RSC Green Chemistry 2025 (Linde e-cracker)
heat_pump_cop,4.0,ratio,Coefficient of Performance for industrial heat pumps,Industrial heat pump specification
