product,process,company,location,complex,capacity_kt,year_built,age_2025,remaining_life,retirement_year_40yr
Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,850,2021,4,36,2061
Ethylene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,1300,1991,34,6,2031
Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,1525,1991,34,6,2031
Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,1230,1992,33,7,2032
Ethylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,1030,2021,4,36,2061
Ethylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu Complex,900,2021,4,36,2061
Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan Complex,900,1991,34,6,2031
Ethylene,Naphtha Cracker,S-Oil,Onsan,Ulsan Complex,182,2018,7,33,2058
Propylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,550,1997,28,12,2037
Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,Daesan Complex,420,2011,14,26,2051
Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,451,2021,4,36,2061
Propylene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,680,1991,34,6,2031
Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,1064,1991,34,6,2031
Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,641,1992,33,7,2032
Propylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,1300,2021,4,36,2061
Propylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu Complex,970,2021,4,36,2061
Propylene,Naphtha Cracker,S-Oil,Onsan,Ulsan Complex,840,2018,7,33,2058
Propylene,Naphtha Cracker,SK Advanced,Ulsan,Ulsan Complex,600,2016,9,31,2056
Propylene,Naphtha Cracker,SK Energy,Ulsan,Ulsan Complex,620,1996,29,11,2036
Propylene,Naphtha Cracker,Taekwang Industrial,Ulsan,Ulsan Complex,300,1997,28,12,2037
Butadiene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,190,1997,28,12,2037
Butadiene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,163,2021,4,36,2061
Butadiene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,200,1991,34,6,2031
Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,150,1991,34,6,2031
Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,Yeosu Complex,147,1992,33,7,2032
Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,Yeosu Complex,130,2022,3,37,2062
Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,160,2011,14,26,2051
Butadiene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,306,1991,34,6,2031
Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,378,1992,33,7,2032
