Scenario,Year,Total_Capacity_kt,Baseline_Emissions_Mt,Transition_Emissions_Mt,Abatement_Mt,Abatement_Rate_Percent,Baseline_OPEX_M_USD,Transition_OPEX_M_USD,OPEX_Delta_M_USD,CAPEX_M_USD,Abatement_Cost_USD_per_tCO2
Conservative_Growth,2030,102555.37595927175,1537.5424951675266,73.54173805401456,1464.000757113512,95.21692972485931,109014.34938371158,96170.85341725656,-12843.495966455017,115.61336572023149,-8.764978137841265
Conservative_Growth,2035,105132.46086467104,1554.415251117159,74.83250366976026,1479.5827474473986,95.18580999408118,109903.53955052106,96237.66720800719,-13665.87234251387,117.45603052607483,-9.228363038848348
Conservative_Growth,2040,107800.48496320027,1571.7537452183706,76.15918339621888,1495.594561822152,95.1545091826304,110816.77250495263,96306.2177143967,-14510.554790555938,119.36215641585446,-9.694217233078206
Conservative_Growth,2045,110562.80196589013,1589.571331785302,77.52281598135161,1512.0485158039503,95.12303635381477,111754.7233025148,96376.55107895815,-15378.172223556656,121.33403867486301,-10.162398004484073
Conservative_Growth,2050,113422.89391372299,1607.881763872279,78.92447147623548,1528.9572923960436,95.09140079515792,112718.08674533779,96448.71469535047,-16269.37204998732,123.37405912164185,-10.632759152218439
Moderate_Growth,2030,108380.95832428886,1614.6584735079518,77.72987276096558,1536.9286007469861,95.18598675594274,114178.7211788482,99978.89097940705,-14199.830199441147,121.48213011193184,-9.231191338058503
Moderate_Growth,2035,117459.7403706321,1715.1429726663446,83.63901040596822,1631.5039622603765,95.12349630678638,120617.35991933734,104016.36249847915,-16600.997420858184,129.74950262920382,-10.167319757908093
Moderate_Growth,2040,127376.17125728307,1823.1659249324207,90.05590595342986,1733.1100189789909,95.06046571396028,127496.9693247193,108225.83560336179,-19271.133721357513,138.68992403692425,-11.111391959004802
Moderate_Growth,2045,138211.39470591437,1939.371219658355,97.02721907037828,1842.3440005879768,94.99697540693262,134852.91742481108,112615.42179257619,-22237.495632234895,148.36461704865118,-12.062166003437879
Moderate_Growth,2050,150054.60881270166,2064.4618458433647,104.60404529019306,1959.8578005531715,94.93310833034742,142723.69887367293,117193.68253741515,-25530.016336257766,158.84070162941384,-13.018358913025956
High_Growth,2030,119210.18054528505,1770.9812360134533,86.16123120656937,1684.8200048068838,95.13483093697133,124612.81063137764,107900.93543620227,-16711.87519517537,132.80095990854315,-9.911204194835358
High_Growth,2035,142248.91295916238,2067.0497878511037,102.94992779413013,1964.0998600569735,95.01947517668859,143879.19362019908,121190.36489917485,-22688.828721024216,155.24993094554188,-11.54386504934223
High_Growth,2040,170011.6876873906,2418.8036193168414,123.30483329862577,2295.4987860182155,94.90223876325058,166480.04672232925,136172.37425664038,-30307.672465688873,181.87142720914207,-13.195165036662146
High_Growth,2045,203510.87009734556,2837.8184071423734,148.03184822649175,2689.7865589158814,94.78360391722327,193058.6848156715,153073.5287347947,-39985.1560808768,213.5047760501099,-14.857612203765045
High_Growth,2050,243983.11859841546,3338.261274714213,178.12691423650264,3160.1343604777103,94.6640811015683,224394.17555897878,172153.0172299907,-52241.158328988065,251.168642428612,-16.523361195582783
Industry_Decline,2030,95678.6966279952,1454.3273161744744,69.27380451151788,1385.0535116629567,95.23671158885068,103309.94640922968,91601.95488475978,-11707.99152446991,108.73025015814761,-8.445246628348688
Industry_Decline,2035,91488.39479433879,1390.5534773876718,66.3912900209167,1324.162187366755,95.22554931539626,98693.38792306364,87313.29597556678,-11380.091947496856,103.86268985106794,-8.586339186381453
Industry_Decline,2040,87486.04837797393,1329.6605005750662,63.63259091164059,1266.0279096634254,95.21437307612581,94288.43508817365,83229.28824786104,-11059.146840312607,99.21828032378835,-8.727473484544012
Industry_Decline,2045,83663.03536946491,1271.51459385946,60.992225339668394,1210.5223685197916,95.20318322461897,90085.15384447393,79339.98359078052,-10745.170253693404,94.78655943614504,-8.868643716908124
Industry_Decline,2050,80011.13760275076,1215.988339213698,58.4649611254491,1157.523378088249,95.1919801169101,86074.08703163677,75635.92612102682,-10438.160910609955,90.55756593209072,-9.00984407869267
