Year,TechID,Target_Band,TechGroup,Band,Install_Capacity_kt,Total_Capacity_kt,Production_kt,Abatement_tCO2,Band_Baseline_kt,Penetration_Rate,Substitution_Rate
2030,NCC_HT_Electric,NCC_HT,NCC,HT,210.0,630.0,0.0,0.0,3500,0.0,0.0
2040,NCC_HT_Electric,NCC_HT,NCC,HT,0.0,1890.0,1190.0,178500.0,3500,0.34,0.34
2050,NCC_HT_Electric,NCC_HT,NCC,HT,0.0,1890.0,0.0,0.0,3500,0.0,0.0
2030,NCC_HT_Hydrogen,NCC_HT,NCC,HT,210.0,210.0,0.0,0.0,3500,0.0,0.0
2040,NCC_HT_Hydrogen,NCC_HT,NCC,HT,210.0,2310.0,2310.0,808500.0,3500,0.66,0.66
2050,NCC_HT_Hydrogen,NCC_HT,NCC,HT,0.0,3500.0,3500.0,1225000.0,3500,1.0,1.0
2030,NCC_MT_ElecHeater,NCC_MT,NCC,MT,0.0,1820.0,1385.52597402598,1066855.0,2800,0.4948307050092786,0.4948307050092786
2040,NCC_MT_ElecHeater,NCC_MT,NCC,MT,0.0,2800.0,2800.0,2156000.0,2800,1.0,1.0
2050,NCC_MT_ElecHeater,NCC_MT,NCC,MT,490.0,2800.0,2800.0,2156000.0,2800,1.0,1.0
2030,NCC_LT_HeatPump,NCC_LT,NCC,LT,0.0,912.0,0.0,0.0,1200,0.0,0.0
2040,NCC_LT_HeatPump,NCC_LT,NCC,LT,0.0,1488.0,1200.0,900000.0,1200,1.0,1.0
2050,NCC_LT_HeatPump,NCC_LT,NCC,LT,288.0,1200.0,1200.0,900000.0,1200,1.0,1.0
2030,BTX_HT_Electric,BTX_HT,BTX,HT,43.2,43.2,0.0,0.0,1200,0.0,0.0
2040,BTX_HT_Electric,BTX_HT,BTX,HT,43.2,475.2,475.2,323136.0,1200,0.39599999999999996,0.39599999999999996
2050,BTX_HT_Electric,BTX_HT,BTX,HT,0.0,604.8,288.0,195840.0,1200,0.24,0.24
2040,BTX_HT_Hydrogen,BTX_HT,BTX,HT,48.0,432.0,432.0,336960.0,1200,0.36,0.36
2050,BTX_HT_Hydrogen,BTX_HT,BTX,HT,48.0000000000001,912.0,912.0,711360.0,1200,0.76,0.76
2030,BTX_MT_ElecHeater,BTX_MT,BTX,MT,100.0,800.0,800.0,648000.0,800,1.0,1.0
2040,BTX_MT_ElecHeater,BTX_MT,BTX,MT,0.0,800.0,800.0,648000.0,800,1.0,1.0
2050,BTX_MT_ElecHeater,BTX_MT,BTX,MT,140.0,800.0,800.0,648000.0,800,1.0,1.0
2030,BTX_LT_HeatPump,BTX_LT,BTX,LT,0.0,1100.0,1100.0,902000.0,1100,1.0,1.0
2040,BTX_LT_HeatPump,BTX_LT,BTX,LT,0.0,1364.0,1100.0,902000.0,1100,1.0,1.0
2050,BTX_LT_HeatPump,BTX_LT,BTX,LT,264.0,1100.0,1100.0,902000.0,1100,1.0,1.0
2040,C4_HT_Electric,C4_HT,C4,HT,13.5,121.5,121.5,71685.0,450,0.27,0.27
2050,C4_HT_Electric,C4_HT,C4,HT,0.0,234.0,219.6,129564.0,450,0.488,0.488
2040,C4_HT_Hydrogen,C4_HT,C4,HT,14.4,86.4,86.4,59616.0,450,0.192,0.192
2050,C4_HT_Hydrogen,C4_HT,C4,HT,14.3999999999999,230.4,230.4,158976.0,450,0.512,0.512
2030,C4_MT_ElecHeater,C4_MT,C4,MT,46.2,231.0,231.0,189420.0,350,0.66,0.66
2040,C4_MT_ElecHeater,C4_MT,C4,MT,0.0,350.0,350.0,287000.0,350,1.0,1.0
2050,C4_MT_ElecHeater,C4_MT,C4,MT,0.0,350.0,350.0,287000.0,350,1.0,1.0
2030,C4_LT_HeatPump,C4_LT,C4,LT,0.0,190.371052631578,0.0,0.0,200,0.0,0.0
2040,C4_LT_HeatPump,C4_LT,C4,LT,0.0,239.2,200.0,152000.0,200,1.0,1.0
2050,C4_LT_HeatPump,C4_LT,C4,LT,39.2,200.0,200.0,152000.0,200,1.0,1.0
2050,C4_LT_ElecCompr,C4_LT,C4,LT,4.40054565050971e-14,4.40054565050971e-14,4.40054565050971e-14,3.34441469438738e-11,200,2.200272825254855e-16,2.200272825254855e-16
