year,category,value,unit,figure_type
2025,Annualized CAPEX,0.0,billion_USD,stacked_bar
2026,Annualized CAPEX,0.045539171999999996,billion_USD,stacked_bar
2027,Annualized CAPEX,0.04618510399999999,billion_USD,stacked_bar
2028,Annualized CAPEX,0.048483217999999995,billion_USD,stacked_bar
2029,Annualized CAPEX,0.11087464639999997,billion_USD,stacked_bar
2030,Annualized CAPEX,0.10938082399999999,billion_USD,stacked_bar
2031,Annualized CAPEX,0.11899905254999998,billion_USD,stacked_bar
2032,Annualized CAPEX,0.1578860346,billion_USD,stacked_bar
2033,Annualized CAPEX,0.15536590964999997,billion_USD,stacked_bar
2034,Annualized CAPEX,0.1576481732,billion_USD,stacked_bar
2035,Annualized CAPEX,0.16097387774999997,billion_USD,stacked_bar
2036,Annualized CAPEX,0.16156330679999997,billion_USD,stacked_bar
2037,Annualized CAPEX,0.16039256309999997,billion_USD,stacked_bar
2038,Annualized CAPEX,0.22066144799999998,billion_USD,stacked_bar
2039,Annualized CAPEX,0.2294343058,billion_USD,stacked_bar
2040,Annualized CAPEX,0.22690164699999996,billion_USD,stacked_bar
2041,Annualized CAPEX,0.22468776819999997,billion_USD,stacked_bar
2042,Annualized CAPEX,0.22397126989999996,billion_USD,stacked_bar
2043,Annualized CAPEX,0.22254834384999997,billion_USD,stacked_bar
2044,Annualized CAPEX,0.22162286755,billion_USD,stacked_bar
2045,Annualized CAPEX,0.21963815212499996,billion_USD,stacked_bar
2046,Annualized CAPEX,0.21844515419999996,billion_USD,stacked_bar
2047,Annualized CAPEX,0.21764727039999998,billion_USD,stacked_bar
2048,Annualized CAPEX,0.21637054844999995,billion_USD,stacked_bar
2049,Annualized CAPEX,0.21597400544999998,billion_USD,stacked_bar
2050,Annualized CAPEX,0.21594173299999997,billion_USD,stacked_bar
2025,OPEX,0.0,billion_USD,stacked_bar
2026,OPEX,0.04427177999999999,billion_USD,stacked_bar
2027,OPEX,0.04496407999999999,billion_USD,stacked_bar
2028,OPEX,0.04730856199999999,billion_USD,stacked_bar
2029,OPEX,0.10974635839999998,billion_USD,stacked_bar
2030,OPEX,0.10829890399999999,billion_USD,stacked_bar
2031,OPEX,0.11793258854999998,billion_USD,stacked_bar
2032,OPEX,0.15683502659999998,billion_USD,stacked_bar
2033,OPEX,0.15433035764999997,billion_USD,stacked_bar
2034,OPEX,0.1566280772,billion_USD,stacked_bar
2035,OPEX,0.15996923774999997,billion_USD,stacked_bar
2036,OPEX,0.16057412279999997,billion_USD,stacked_bar
2037,OPEX,0.1594188351,billion_USD,stacked_bar
2038,OPEX,0.20462063159999996,billion_USD,stacked_bar
2039,OPEX,0.21119512496249998,billion_USD,stacked_bar
