Company,Year,Baseline_Emissions_kt,Target_Emissions_kt,Reduction_Required_kt,Reduction_Percent
OCI Company,2025,187.3010645737001,153.59338571004892,33.707678863651175,17.996522838976027
OCI Company,2030,187.3010645737001,108.57523859349529,78.72582598020482,42.031702360787925
OCI Company,2035,187.3010645737001,72.39382133610872,114.90724323759139,61.34895362133788
OCI Company,2040,187.3010645737001,39.370127683674305,147.9309368900258,78.98029689618622
OCI Company,2045,187.3010645737001,56.015016175697426,131.28604839800266,70.09359434064702
OCI Company,2050,187.3010645737001,23.235488265086214,164.06557630861388,87.59457757596279
Other Companies,2025,51812.698935426306,42488.21473802242,9324.484197403883,17.996522838976027
Other Companies,2030,51812.698935426306,30034.939533796787,21777.75940162952,42.031702360787925
Other Companies,2035,51812.698935426306,20026.150295568194,31786.54863985811,61.34895362133788
Other Companies,2040,51812.698935426306,10890.875486299496,40921.823449126816,78.98029689618622
Other Companies,2045,51812.698935426306,15495.315926687854,36317.38300873845,70.09359434064702
Other Companies,2050,51812.698935426306,6427.584172234266,45385.11476319204,87.59457757596279
