Year,Annual_Stranded_Value_Million_USD,Facilities_At_Risk
2025,698.481,109
2026,698.481,109
2027,698.481,109
2028,698.481,109
2029,698.481,109
2030,698.481,109
2031,465.654,109
2032,465.654,109
2033,465.654,109
2034,465.654,109
2035,465.654,109
2036,465.654,109
2037,465.654,109
2038,465.654,109
2039,465.654,109
2040,465.654,109
2041,232.827,109
2042,232.827,109
2043,232.827,109
2044,232.827,109
2045,232.827,109
2046,232.827,109
2047,232.827,109
2048,232.827,109
2049,232.827,109
2050,232.827,109
