year,fuel_type,cost_usd_per_unit,unit,cost_category,volatility_risk,supply_security,escalation_2030_2040,escalation_2040_2050
2030,natural_gas,12.0,$/GJ,Fossil,High,Medium,1.55,1.34
2030,naphtha,15.0,$/GJ,Fossil,High,Medium,1.84,1.06
2030,electricity_grid,80.0,$/MWh,Fossil,Medium,High,-0.64,-0.69
2030,renewable_electricity,120.0,$/MWh,Low-carbon,Low,High,-2.84,-3.2
2030,green_hydrogen,6.0,$/kg,Low-carbon,Medium,Low,-5.25,-5.44
2030,bio_naphtha,25.0,$/GJ,Low-carbon,Medium,Medium,-1.27,-1.99
2030,biomass,8.0,$/GJ,Low-carbon,Low,High,1.18,1.06
2030,carbon_price,85.0,$/tCO2,Policy,High,High,3.51,2.26
2040,natural_gas,14.0,$/GJ,Fossil,High,Medium,1.55,1.34
2040,naphtha,18.0,$/GJ,Fossil,High,Medium,1.84,1.06
2040,electricity_grid,75.0,$/MWh,Fossil,Medium,High,-0.64,-0.69
2040,renewable_electricity,90.0,$/MWh,Low-carbon,Low,High,-2.84,-3.2
2040,green_hydrogen,3.5,$/kg,Low-carbon,Medium,Low,-5.25,-5.44
2040,bio_naphtha,22.0,$/GJ,Low-carbon,Medium,Medium,-1.27,-1.99
2040,biomass,9.0,$/GJ,Low-carbon,Low,High,1.18,1.06
2040,carbon_price,120.0,$/tCO2,Policy,High,High,3.51,2.26
2050,natural_gas,16.0,$/GJ,Fossil,High,Medium,1.55,1.34
2050,naphtha,20.0,$/GJ,Fossil,High,Medium,1.84,1.06
2050,electricity_grid,70.0,$/MWh,Fossil,Medium,High,-0.64,-0.69
2050,renewable_electricity,65.0,$/MWh,Low-carbon,Low,High,-2.84,-3.2
2050,green_hydrogen,2.0,$/kg,Low-carbon,Medium,Low,-5.25,-5.44
2050,bio_naphtha,18.0,$/GJ,Low-carbon,Medium,Medium,-1.27,-1.99
2050,biomass,10.0,$/GJ,Low-carbon,Low,High,1.18,1.06
2050,carbon_price,150.0,$/tCO2,Policy,High,High,3.51,2.26
