Metric,Original_Model,Enhanced_Model,Improvement
Available Technologies,11,14,+3 technologies
Deployed Technologies,11,14,+3 deployed
Total Abatement (Mt CO₂),140.0,135.9,+-4.0 Mt CO₂
Total Cost (Billion USD),4.43,2.48,+-1.95B USD
Cost Effectiveness (USD/tCO₂),"31,659","18,241","+-13,418 USD/tCO₂"
Energy Efficiency Approach,Single EE technology (95% deployment),"Process-specific EE (NCC 10%, BTX 20%, Util 35%)",Realistic process limitations
Renewable Energy Technologies,None,"Solar PV, Wind, Solar Thermal",3 new renewable technologies
Heat Pump Technologies,Single heat pump technology,Low/medium + high temperature heat pumps,Temperature-differentiated approach
Process Constraints,No process-specific constraints,Thermodynamic constraints applied,Industry-validated constraints
TRL Risk Adjustment,Not applied,TRL-based cost adjustments,Risk-adjusted economics
Target Achievement,100.000%,100.000%,Maintained 100% achievement
