TechID,Product,ProcessType,Year,DeploymentLevel,AbatementMtCO2,AnnualCostUSD,DiscountedCostUSD,CostPerTonCO2,AdjustedCostPerTonCO2,TRL,RiskFactor,StartYear_Commercial
EE_UTL,All_Products,Efficiency,2025,0.35,6.136812375648839,-521629051.9301514,-521629051.9301514,-85,-85.0,9,1.0,2025
EE_UTL,All_Products,Efficiency,2030,0.35,6.136812375648839,-521629051.9301514,-449961802.3849318,-85,-85.0,9,1.0,2025
EE_UTL,All_Products,Efficiency,2035,0.35,6.136812375648839,-521629051.9301514,-388141003.3745734,-85,-85.0,9,1.0,2025
EE_UTL,All_Products,Efficiency,2040,0.35,6.136812375648839,-521629051.9301514,-334813839.0905904,-85,-85.0,9,1.0,2025
EE_UTL,All_Products,Efficiency,2045,0.35,6.136812375648839,-521629051.9301514,-288813358.7329292,-85,-85.0,9,1.0,2025
EE_UTL,All_Products,Efficiency,2050,0.35,6.136812375648839,-521629051.9301514,-249132940.29051954,-85,-85.0,9,1.0,2025
EE_BTX,벤젠,Efficiency,2025,0.2,2.427931349092184,-157815537.69099197,-157815537.69099197,-65,-65.0,9,1.0,2025
EE_BTX,벤젠,Efficiency,2030,0.2,2.427931349092184,-157815537.69099197,-136133069.1245598,-65,-65.0,9,1.0,2025
EE_BTX,벤젠,Efficiency,2035,0.2,2.427931349092184,-157815537.69099197,-117429581.27202186,-65,-65.0,9,1.0,2025
EE_BTX,벤젠,Efficiency,2040,0.2,2.427931349092184,-157815537.69099197,-101295788.35180016,-65,-65.0,9,1.0,2025
EE_BTX,벤젠,Efficiency,2045,0.2,2.427931349092184,-157815537.69099197,-87378636.85338189,-65,-65.0,9,1.0,2025
EE_BTX,벤젠,Efficiency,2050,0.2,2.427931349092184,-157815537.69099197,-75373579.71724105,-65,-65.0,9,1.0,2025
EE_NCC,Ethylene,Efficiency,2025,0.1,2.232659360982811,-111632968.04914056,-111632968.04914056,-50,-50.0,9,1.0,2025
EE_NCC,Ethylene,Efficiency,2030,0.1,2.232659360982811,-111632968.04914056,-96295578.86606534,-50,-50.0,9,1.0,2025
EE_NCC,Ethylene,Efficiency,2035,0.1,2.232659360982811,-111632968.04914056,-83065412.227226,-50,-50.0,9,1.0,2025
EE_NCC,Ethylene,Efficiency,2040,0.1,2.232659360982811,-111632968.04914056,-71652954.2656969,-50,-50.0,9,1.0,2025
EE_NCC,Ethylene,Efficiency,2045,0.1,2.232659360982811,-111632968.04914056,-61808467.77666688,-50,-50.0,9,1.0,2025
EE_NCC,Ethylene,Efficiency,2050,0.1,2.232659360982811,-111632968.04914056,-53316527.253478386,-50,-50.0,9,1.0,2025
HP_001,All_Products,Electrification,2030,0.5,3.25,35750000.0,30838264.041733857,10,11.0,8,1.1,2025
HP_001,All_Products,Electrification,2035,0.5,3.25,35750000.0,26601357.457557917,10,11.0,8,1.1,2025
HP_001,All_Products,Electrification,2040,0.5,3.25,35750000.0,22946564.619432647,10,11.0,8,1.1,2025
HP_001,All_Products,Electrification,2045,0.5,3.25,35750000.0,19793908.21216146,10,11.0,8,1.1,2025
HP_001,All_Products,Electrification,2050,0.5,3.25,35750000.0,17074399.101104315,10,11.0,8,1.1,2025
RE_003,All_Products,Renewable,2030,0.6,7.199999999999999,288000000.0,248431329.9026392,40,40.0,9,1.0,2025
RE_003,All_Products,Renewable,2035,0.6,7.199999999999999,288000000.0,214299047.4902568,40,40.0,9,1.0,2025
RE_003,All_Products,Renewable,2040,0.6,7.199999999999999,288000000.0,184856240.85025463,40,40.0,9,1.0,2025
RE_003,All_Products,Renewable,2045,0.19657947,2.35895364,94358145.6,52243817.42870396,40,40.0,9,1.0,2025
RE_003,All_Products,Renewable,2050,0.3004229,3.6050747999999997,144202992.0,68872152.08339448,40,40.0,9,1.0,2025
RE_002,All_Products,Renewable,2030,0.059414392,0.505022332,27776228.259999998,23960018.49413566,55,55.0,9,1.0,2025
RE_002,All_Products,Renewable,2035,0.4,3.4000000000000004,187000000.00000003,139145562.08568758,55,55.0,9,1.0,2025
RE_002,All_Products,Renewable,2040,0.4,3.4000000000000004,187000000.00000003,120028184.16318618,55,55.0,9,1.0,2025
ES_001,All_Products,Infrastructure,2035,0.2,0.5599999999999999,86240000.0,64170659.22069356,140,154.0,8,1.1,2027
ES_001,All_Products,Infrastructure,2040,0.2,0.5599999999999999,86240000.0,55354174.34349291,140,154.0,8,1.1,2027
TPA_001,TPA,Alternative,2035,0.6,0.624,117374400.00000001,87337576.80465417,171,188.10000000000002,8,1.1,2027
TPA_001,TPA,Alternative,2040,0.8,0.8320000000000001,156499200.00000003,100450881.27802838,171,188.10000000000002,8,1.1,2027
HP_002,All_Products,Electrification,2035,0.3,1.26,275625000.0,205090885.29340982,175,218.75,7,1.25,2028
HP_002,All_Products,Electrification,2040,0.3,1.26,275625000.0,176913199.25122023,175,218.75,7,1.25,2028
PE_002,LDPE,Alternative,2035,0.75,1.9500000000000002,407550000.0,303255475.01616025,209,209.0,9,1.0,2025
PE_002,LDPE,Alternative,2040,0.8,2.08,434720000.00000006,279030225.772301,209,209.0,9,1.0,2025
ETH_003,Ethylene,Alternative,2035,0.1,0.78,198120000.0,147419886.41933915,254,254.0,9,1.0,2025
ETH_003,Ethylene,Alternative,2040,0.15,1.17,297180000.0,190748533.52735648,254,254.0,9,1.0,2025
PROP_002,Propylene,Alternative,2035,0.058275391,0.36363843984,120000685.1472,89291779.60146932,264,330.0,7,1.25,2029
PROP_002,Propylene,Alternative,2040,0.2,1.248,411840000.0,264344424.4158641,264,330.0,7,1.25,2029
ETH_004,Ethylene,Alternative,2035,0.2,1.56,560040000.0,416722356.09876186,359,359.0,9,1.0,2025
ETH_004,Ethylene,Alternative,2040,0.6,4.68,1680119999.9999998,1078405095.0601728,359,359.0,9,1.0,2025
PE_001,HDPE,Alternative,2040,0.42192621,1.097008146,435621934.7766,279609143.3844343,361,397.1,8,1.1,2026
