Year,TechID,TechGroup,Band,Technology_Category,Commercial_Year,Years_Since_Commercial,Technology_Maturity,Annual_Install_Capacity_kt,Cumulative_Install_Capacity_kt,Total_Available_Capacity_kt,Annual_Production_kt,Capacity_Utilization_pct,Market_Penetration_pct,Band_Baseline_Capacity_kt,Max_Potential_Penetration_pct,Technical_Readiness_Level,Ramp_Rate_per_year,Investment_Phase,Deployment_Status
2024,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,2024,0,Emerging,264.0,264.0,264.0,0.0,0.0,0.0,1100,80.0,9,0.3,High Investment,Pre-Commercial
2024,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,2024,0,Emerging,39.2,39.2,39.2,0.0,0.0,0.0,200,70.0,9,0.28,Moderate Investment,Pre-Commercial
2024,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,2024,0,Emerging,288.0,288.0,288.0,0.0,0.0,0.0,1200,80.0,9,0.3,High Investment,Pre-Commercial
2025,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,2024,1,Emerging,264.0,528.0,528.0,0.0,0.0,0.0,1100,80.0,9,0.3,High Investment,Pre-Commercial
2025,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,2025,0,Emerging,140.0,140.0,140.0,0.0,0.0,0.0,800,70.0,9,0.25,High Investment,Pre-Commercial
2025,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,2024,1,Emerging,39.2,78.4,78.4,0.0,0.0,0.0,200,70.0,9,0.28,Moderate Investment,Pre-Commercial
2025,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,2024,1,Emerging,288.0,576.0,576.0,0.0,0.0,0.0,1200,80.0,9,0.3,High Investment,Pre-Commercial
2025,NCC_MT_ElecHeater,NCC,MT,NCC MT Electric heater,2025,0,Emerging,490.0,490.0,490.0,0.0,0.0,0.0,2800,70.0,9,0.25,High Investment,Pre-Commercial
2026,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,2024,2,Emerging,264.0,792.0,792.0,0.0,0.0,0.0,1100,80.0,9,0.3,High Investment,Pre-Commercial
2026,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,2025,1,Emerging,140.0,280.0,280.0,0.0,0.0,0.0,800,70.0,9,0.25,High Investment,Pre-Commercial
2026,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,2024,2,Emerging,39.2,117.60000000000001,117.6,0.0,0.0,0.0,200,70.0,9,0.28,Moderate Investment,Pre-Commercial
2026,C4_MT_ElecHeater,C4,MT,C4 MT Electric heater,2026,0,Emerging,46.2,46.2,46.2,0.0,0.0,0.0,350,60.0,8,0.22,Moderate Investment,Pre-Commercial
2026,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,2024,2,Emerging,288.0,864.0,864.0,0.0,0.0,0.0,1200,80.0,9,0.3,High Investment,Pre-Commercial
2026,NCC_MT_ElecHeater,NCC,MT,NCC MT Electric heater,2025,1,Emerging,490.0,980.0,980.0,0.0,0.0,0.0,2800,70.0,9,0.25,High Investment,Pre-Commercial
2027,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,2024,3,Emerging,264.0,1056.0,1056.0,0.0,0.0,0.0,1100,80.0,9,0.3,High Investment,Pre-Commercial
2027,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,2025,2,Emerging,140.0,420.0,420.0,0.0,0.0,0.0,800,70.0,9,0.25,High Investment,Pre-Commercial
2027,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,2024,3,Emerging,39.2,156.8,156.8,0.0,0.0,0.0,200,70.0,9,0.28,Moderate Investment,Pre-Commercial
2027,C4_MT_ElecHeater,C4,MT,C4 MT Electric heater,2026,1,Emerging,46.2,92.4,92.4,0.0,0.0,0.0,350,60.0,8,0.22,Moderate Investment,Pre-Commercial
2027,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,2024,3,Emerging,47.9999999999997,911.9999999999997,912.0,0.0,0.0,0.0,1200,80.0,9,0.3,Moderate Investment,Pre-Commercial
