facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement,growth_rate
35,Yeochon NCC,Yeosu,Naphtha Cracker,378,1992,2025,785000.7604786442,30,0.0
36,Kumho Petrochemical,Ulsan,Naphtha Cracker,90,1979,2025,186904.94297110575,30,0.0
37,Daehan Oil Chemical,Ulsan,Naphtha Cracker,146,2023,2053,303201.3519309049,30,0.0
38,SK Geocentric,Ulsan,Naphtha Cracker,130,1989,2025,269973.80651381944,30,0.0
39,OCI,Gwangyang,BTX Plant,200,1995,2025,63037.77586974907,30,0.0
40,Lotte Chemical,Daesan,BTX Plant,240,2011,2041,75645.33104369888,30,0.0
41,HD Hyundai Chemical,Daesan,BTX Plant,410,2016,2046,129227.44053298561,30,0.0
42,HDHyundai Oilbank,Daesan,BTX Plant,338,1997,2027,106533.84121987593,30,0.0
43,LG Chem,Daesan,BTX Plant,270,1991,2025,85100.99742416125,30,0.0
44,Hanwha TotalEnergies,Daesan,BTX Plant,1267,1991,2025,399344.31013486034,30,0.0
45,Lotte Chemical,Yeosu,BTX Plant,235,1992,2025,74069.38664695516,30,0.0
46,LG Chem,Yeosu,BTX Plant,630,1992,2025,198568.9939897096,30,0.0
47,Yeochon NCC,Yeosu,BTX Plant,457,1979,2025,144041.31786237663,30,0.0
48,GS Caltex,Yeosu,BTX Plant,930,1990,2025,293125.6577943332,30,0.0
49,Daehan Oil Chemical,Onsan,BTX Plant,210,2008,2038,66189.66466323653,30,0.0
50,S-Oil,Onsan,BTX Plant,672,1991,2025,211806.92692235688,30,0.0
51,Lotte Chemical,Ulsan,BTX Plant,110,1986,2025,34670.77672836199,30,0.0
52,SK Geocentric,Ulsan,BTX Plant,603,1972,2025,190058.89424729344,30,0.0
53,Ulsan Aromatics,Ulsan,BTX Plant,600,2014,2044,189113.32760924724,30,0.0
54,SK Incheon Petrochemical,Incheon,BTX Plant,600,2006,2036,189113.32760924724,30,0.0
55,OCI,Gwangyang,BTX Plant,40,1995,2025,12607.555173949815,30,0.0
56,Lotte Chemical,Daesan,BTX Plant,120,2011,2041,37822.66552184944,30,0.0
57,LG Chem,Daesan,BTX Plant,100,2011,2041,31518.887934874536,30,0.0
58,Lotte Chemical,Yeosu,BTX Plant,220,1992,2025,69341.55345672398,30,0.0
59,LG Chem,Yeosu,BTX Plant,112,1992,2025,35301.15448705948,30,0.0
60,Yeochon NCC,Yeosu,BTX Plant,282,1979,2025,88883.26397634619,30,0.0
61,GS Caltex,Yeosu,BTX Plant,170,1990,2025,53582.10948928671,30,0.0
62,Daehan Oil Chemical,Onsan,BTX Plant,78,2008,2038,24584.732589202136,30,0.0
63,S-Oil,Onsan,BTX Plant,300,1991,2025,94556.66380462362,30,0.0
64,SK Geocentric,Ulsan,BTX Plant,1506,2070,2100,474674.4522992105,30,0.0
65,Lotte Chemical,Daesan,BTX Plant,60,2011,2041,18911.33276092472,30,0.0
66,HD Hyundai Chemical,Daesan,BTX Plant,1350,2016,2046,425504.98712080624,30,0.0
68,Lotte Chemical,Yeosu,BTX Plant,79,1992,2025,24899.921468550885,30,0.0
69,LG Chem,Yeosu,BTX Plant,60,1992,2025,18911.33276092472,30,0.0
70,Yeochon NCC,Yeosu,BTX Plant,204,1979,2025,64298.53138714406,30,0.0
71,GS Caltex,Yeosu,BTX Plant,350,1990,2025,110316.10777206087,30,0.0
72,Daehan Oil Chemical,Onsan,BTX Plant,47,2008,2038,14813.877329391033,30,0.0
73,S-Oil,Onsan,BTX Plant,450,1991,2025,141834.9957069354,30,0.0
74,SK Geocentric,Ulsan,BTX Plant,894,2070,2100,281778.85813777836,30,0.0
75,Lotte Chemical,Ulsan,BTX Plant,210,1980,2025,66189.66466323653,30,0.0
76,SK Geocentric,Ulsan,BTX Plant,200,1990,2025,63037.77586974907,30,0.0
77,Lotte Chemical,Ulsan,BTX Plant,360,1998,2028,113467.99656554832,30,0.0
78,HDHyundai Oilbank,Daesan,BTX Plant,1460,1997,2027,460175.7638491682,30,0.0
79,Hanwha TotalEnergies,Daesan,BTX Plant,2000,1997,2027,630377.7586974907,30,0.0
80,GS Caltex,Yeosu,BTX Plant,1350,1990,2025,425504.98712080624,30,0.0
81,S-Oil,Onsan,BTX Plant,1900,1997,2027,598858.8707626162,30,0.0
82,Lotte Chemical,Ulsan,BTX Plant,750,1980,2025,236391.659511559,30,0.0
83,SK Geocentric,Ulsan,BTX Plant,830,1990,2025,261606.76985945867,30,0.0
84,Ulsan Aromatics,Ulsan,BTX Plant,1000,2014,2044,315188.87934874534,30,0.0
85,SK Incheon Petrochemical,Incheon,BTX Plant,1500,2014,2044,472783.319023118,30,0.0
86,SK Geocentric,Ulsan,Naphtha Cracker,160,1974,2025,332275.4541708547,30,0.0
87,Caprolactam,Ulsan,Naphtha Cracker,190,2000,2030,394577.10182789,30,0.0
