year,budget_1.5C_tco2,budget_2.0C_tco2,budget_NDC_tco2
2025,50000000,60000000,70000000
2026,45000000,58000000,69000000
2027,40000000,56000000,68000000
2028,35000000,54000000,67000000
2029,30000000,52000000,66000000
2030,25000000,50000000,65000000
2031,20000000,48000000,64000000
2032,15000000,46000000,63000000
2033,10000000,44000000,62000000
2034,5000000,42000000,61000000
2035,0,40000000,60000000
2036,0,38000000,59000000
2037,0,36000000,58000000
2038,0,34000000,57000000
2039,0,32000000,56000000
2040,0,30000000,55000000
2041,0,28000000,54000000
2042,0,26000000,53000000
2043,0,24000000,52000000
2044,0,22000000,51000000
2045,0,20000000,50000000
2046,0,18000000,49000000
2047,0,16000000,48000000
2048,0,14000000,47000000
2049,0,12000000,46000000
2050,0,10000000,45000000
