Product,Category,Our_Model_GJ_per_t,Literature_Value_GJ_per_t,Literature_Range,Scope,Source,Year,Notes
Ethylene,NCC,40.31,29.1,20-40,Process energy only,LBNL World Best Practice,2008,Our model includes all fuel types; LBNL is naphtha cracker best practice
Ethylene,NCC,40.31,24.4-29.1,20-40,Process energy only,ACS Ind. Eng. Chem. Res.,2023,Electric cracker comparison study
Ethylene,NCC,40.31,14-25,14-25,Process energy only,IEA Future of Petrochemicals,2018,Global average range for steam crackers
Propylene,NCC,35.90,25-30,20-35,Process energy only,IEA estimate,2018,Co-product of ethylene; allocated intensity
Butadiene,NCC,40.01,35-45,30-50,Process energy only,Industry estimate,2020,Extraction from C4 stream requires additional energy
Benzene,BTX,6.39,2.4,1.5-4.0,Process energy only,DOE Industrial Technologies,2006,Catalytic reforming route
Toluene,BTX,8.49,3.0,2.0-5.0,Process energy only,DOE Industrial Technologies,2006,Similar to benzene production
Xylene,BTX,10.23,3.5,2.5-5.5,Process energy only,DOE Industrial Technologies,2006,Mixed xylenes from reformate
P-X,BTX,0.00,5.0,3.0-8.0,Process energy only,Industry estimate,2020,Para-xylene separation energy intensive
PP,Polymer,0.005,73.0,70-76,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2014,Literature includes feedstock (45 GJ/t)
HDPE,Polymer,0.005,76.0,73-80,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2014,Literature includes feedstock (45 GJ/t)
LDPE,Polymer,0.007,83.0,78-88,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2014,High pressure process more energy intensive
L-LDPE,Polymer,0.006,78.0,75-82,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2014,Gas-phase or solution process
PS,Polymer,0.008,87.0,82-92,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2014,Includes styrene monomer production
EPS,Polymer,0.004,95.0,90-100,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2014,Additional expansion energy
ABS,Polymer,0.004,95.3,90-100,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2008,Complex terpolymer
PVC,Polymer,0.004,57.8,52-63,Cradle-to-gate incl. feedstock,ACC/VinylPlus,2017,Chlorine production energy included
VCM,Intermediate,0.004,35.0,30-40,Process energy only,Industry estimate,2020,Oxychlorination process
EDC,Intermediate,0.004,25.0,20-30,Process energy only,Industry estimate,2020,Direct chlorination
SM,Intermediate,0.004,58.0,50-65,Cradle-to-gate incl. feedstock,PlasticsEurope Eco-profile,2019,Styrene monomer
TPA,Intermediate,0.003,45.0,40-50,Cradle-to-gate incl. feedstock,Industry estimate,2020,PX oxidation process
EG,Intermediate,0.003,25.0,20-30,Process energy only,Industry estimate,2020,Ethylene oxide hydration
Phenol,Intermediate,0.003,40.0,35-45,Process energy only,Industry estimate,2020,Cumene process co-product acetone
BPA,Intermediate,0.003,50.0,45-55,Process energy only,Industry estimate,2020,Phenol + acetone condensation
