FacilityID,Company,Region,ProcessType,Activity_kt_product,EfficiencyFactor,NaturalGas_GJ_per_t,FuelOil_GJ_per_t,Electricity_GJ_per_t,Naphtha_t_per_t,LPG_t_per_t,Reformate_t_per_t
F001,LG Chem,Yeosu,NCC,2200,0.88,11.264000000000001,0.7040000000000001,1.584,1.03,0.0,0.0
F001,LG Chem,Yeosu,BTX,1200,0.88,7.48,1.056,1.848,0.0,0.85,0.75
F001,LG Chem,Yeosu,C4,400,0.88,5.456,0.44,1.32,0.0,1.1,0.0
F002,GS Caltex,Yeosu,NCC,1800,0.9,11.520000000000001,0.7200000000000001,1.62,1.03,0.0,0.0
F002,GS Caltex,Yeosu,BTX,900,0.9,7.65,1.08,1.8900000000000001,0.0,0.85,0.75
F002,GS Caltex,Yeosu,C4,300,0.9,5.58,0.45,1.35,0.0,1.1,0.0
F003,Lotte Chemical,Yeosu,NCC,1600,0.83,10.624,0.664,1.494,1.03,0.0,0.0
F003,Lotte Chemical,Yeosu,BTX,800,0.83,7.055,0.9959999999999999,1.7429999999999999,0.0,0.85,0.75
F003,Lotte Chemical,Yeosu,C4,250,0.83,5.146,0.415,1.2449999999999999,0.0,1.1,0.0
F004,여천NCC,Yeosu,NCC,1200,0.88,11.264,0.704,1.5839999999999999,1.03,0.0,0.0
F004,여천NCC,Yeosu,BTX,600,0.88,7.479999999999999,1.0559999999999998,1.8479999999999999,0.0,0.85,0.75
F004,여천NCC,Yeosu,C4,200,0.88,5.4559999999999995,0.43999999999999995,1.3199999999999998,0.0,1.1,0.0
F005,한화 토탈,Daesan,NCC,1000,1.01,12.928,0.808,1.818,1.03,0.0,0.0
F005,한화 토탈,Daesan,BTX,500,1.01,8.585,1.212,2.121,0.0,0.85,0.75
F005,한화 토탈,Daesan,C4,200,1.01,6.2620000000000005,0.505,1.5150000000000001,0.0,1.1,0.0
F006,현대케미칼,Daesan,NCC,800,1.02,13.056000000000001,0.8160000000000001,1.836,1.03,0.0,0.0
F006,현대케미칼,Daesan,BTX,400,1.02,8.67,1.224,2.1420000000000003,0.0,0.85,0.75
F006,현대케미칼,Daesan,C4,150,1.02,6.324000000000001,0.51,1.53,0.0,1.1,0.0
F007,SK Chemicals,Ulsan,NCC,900,0.9,11.520000000000001,0.7200000000000001,1.62,1.03,0.0,0.0
F007,SK Chemicals,Ulsan,BTX,450,0.9,7.65,1.08,1.8900000000000001,0.0,0.85,0.75
F007,SK Chemicals,Ulsan,C4,180,0.9,5.58,0.45,1.35,0.0,1.1,0.0
F008,대한유화,Ulsan,NCC,800,1.03,13.184000000000001,0.8240000000000001,1.854,1.03,0.0,0.0
F008,대한유화,Ulsan,BTX,350,1.03,8.755,1.236,2.1630000000000003,0.0,0.85,0.75
F008,대한유화,Ulsan,C4,120,1.03,6.386,0.515,1.545,0.0,1.1,0.0
